Account Name,Service Name,Audit Type,Location,Address,City,State,Zip,Round,Scheduled Date,Start Date,Completion Date,Audit Duration,Score,Golf Score,Specialist,RP Order #,Status,Imported From,Sent To Client,Report
OCP Corp, Express Audit,Audit,T1284,302 NE Northgate Way,Seattle,WA,98125-6047,Round 4 - 2013,8/23/13 0:00,8/23/13 14:02,8/23/13 17:21,198,0,0,Lita Willimas,8147957,Closed,,2013-08-24T08:41:59.113,Yum - FSC Single Department.pdf
OCP Corp,OCP Corp Audit,Audit,T1284,303 NE Northgate Way,Seattle,WA,98125-6047,Round 4 - 2013,8/23/13 0:00,8/23/13 13:57,8/23/13 17:21,203,89.71,6,Kimiko Cabe,8146176,Closed,,2013-08-24T06:58:09.367,OCP Corp Audit Report.pdf
OCP Corp,OCP Corp Audit,Audit,T1130,304 NE Northgate Way,Trotwood,WA,45426-2137,Round 4 - 2013,8/23/13 0:00,8/23/13 14:50,8/23/13 17:03,132,87.93,5,Zenaida Koran,8146329,Closed,,2013-08-23T22:21:29.500,OCP Corp Audit Report.pdf
OCP Corp,OCP Corp Audit,Audit,T1395,305 NE Northgate Way,Lewisville,WA,75057-5001,Round 4 - 2013,8/23/13 0:00,8/23/13 12:56,8/23/13 16:35,218,86.93,16,Gerald Schoenberger,8146078,Closed,,2013-08-23T22:43:37.220,OCP Corp Audit Report.pdf
OCP Corp,OCP Corp Audit,Audit,T2301,306 NE Northgate Way,Brunswick,WA,31525-2929,Round 4 - 2013,8/23/13 0:00,8/23/13 13:12,8/23/13 16:03,170,96.08,4,Jayne Mcbain,8145375,Closed,,2013-08-23T22:28:43.343,OCP Corp Audit Report.pdf
OCP Corp, Express Audit,Audit,T2301,307 NE Northgate Way,Brunswick,WA,31525-2929,Round 4 - 2013,8/23/13 0:00,8/23/13 13:14,8/23/13 16:02,167,0,0,Forrest Boze,8147075,Closed,,2013-08-23T22:28:52.793,Yum - FSC Single Department.pdf
OCP Corp, Express Audit,Audit,T1770,308 NE Northgate Way,Fort Worth,WA,76132-3220,Round 4 - 2013,8/23/13 0:00,8/23/13 10:35,8/23/13 15:57,321,0,0,Tana Nolley,8148004,Closed,,2013-08-23T22:47:10.617,Yum - FSC Single Department.pdf
OCP Corp,OCP Corp Audit,Audit,T1770,309 NE Northgate Way,Fort Worth,WA,76132-3220,Round 4 - 2013,8/23/13 0:00,8/23/13 10:32,8/23/13 15:57,324,90.45,13,Rachele Lashua,8145884,Closed,,2013-08-23T22:47:03.157,OCP Corp Audit Report.pdf
OCP Corp, Express Audit,Audit,T1153,310 NE Northgate Way,Brick,WA,8723,Round 4 - 2013,8/23/13 0:00,8/23/13 13:01,8/23/13 15:46,164,1,1,Jacinta Pease,8147873,Closed,,2013-08-23T19:52:24.567,Yum - FSC Single Department.pdf
OCP Corp,OCP Corp Audit,Audit,T1153,311 NE Northgate Way,Brick,WA,8723,Round 4 - 2013,8/23/13 0:00,8/23/13 12:59,8/23/13 15:46,166,91,6,Dorris Lyford,8146314,Closed,,2013-08-23T19:52:42.600,OCP Corp Audit Report.pdf
OCP Corp, Express Audit,Audit,T2062,312 NE Northgate Way,Mount Dora,WA,32757-6748,Round 4 - 2013,8/23/13 0:00,8/23/13 13:06,8/23/13 15:25,138,2,2,Kizzie Rea,8147628,Closed,,2013-08-24T03:10:55.723,Yum - FSC Single Department.pdf
OCP Corp,OCP Corp Audit,Audit,T2062,313 NE Northgate Way,Mount Dora,WA,32757-6748,Round 4 - 2013,8/23/13 0:00,8/23/13 13:04,8/23/13 15:25,140,91.93,5,Sherly Gaudet,8145615,Closed,,2013-08-24T03:10:57.237,OCP Corp Audit Report.pdf
OCP Corp,OCP Corp Audit,Audit,T1331,314 NE Northgate Way,Lake Stevens,WA,98258-7949,Round 4 - 2013,8/23/13 0:00,8/23/13 12:23,8/23/13 14:57,153,93.3,4,Anamaria Durbin,8146136,Closed,,2013-08-24T03:54:28.447,OCP Corp Audit Report.pdf
OCP Corp, Express Audit,Audit,T2035,315 NE Northgate Way,Tinley Park,WA,60487-9361,Round 4 - 2013,8/23/13 0:00,8/23/13 9:58,8/23/13 14:52,293,2,2,Gillian Ceasar,8147881,Closed,,2013-08-24T01:45:46.453,Yum - FSC Single Department.pdf
OCP Corp,OCP Corp Audit,Audit,T2035,316 NE Northgate Way,Tinley Park,WA,60487-9361,Round 4 - 2013,8/23/13 0:00,8/23/13 9:55,8/23/13 14:52,296,91.13,10,Lorretta Marcial,8145630,Closed,,2013-08-24T01:45:50.630,OCP Corp Audit Report.pdf
OCP Corp,OCP Corp Audit,Audit,T1530,317 NE Northgate Way,Muncie,WA,47303-1246,Round 4 - 2013,8/23/13 0:00,8/23/13 12:22,8/23/13 14:36,133,93.35,4,Shirl Winger,8145930,Closed,,2013-08-24T00:26:33.040,OCP Corp Audit Report.pdf
OCP Corp,OCP Corp Audit,Audit,T1257,318 NE Northgate Way,Hagerstown,WA,21740-6981,Round 4 - 2013,8/23/13 0:00,8/23/13 11:53,8/23/13 14:06,132,91.97,3,Astrid Adamo,8146210,Closed,,2013-08-23T21:16:47.637,OCP Corp Audit Report.pdf
OCP Corp, Express Audit,Audit,T0619,319 NE Northgate Way,Shoreview,WA,55126-2916,Round 4 - 2013,8/23/13 0:00,8/23/13 10:48,8/23/13 14:02,193,2,2,Enda Lotts,8147131,Closed,,2013-08-23T21:11:00.447,Yum - FSC Single Department.pdf
OCP Corp,OCP Corp Audit,Audit,T1844,320 NE Northgate Way,Cordova,WA,38018-6209,Round 4 - 2013,8/23/13 0:00,8/23/13 9:01,8/23/13 14:02,300,94.25,8,Jayme Everette,8145806,Closed,,2013-08-24T03:06:49.873,OCP Corp Audit Report.pdf
OCP Corp,OCP Corp Audit,Audit,T0619,321 NE Northgate Way,Shoreview,WA,55126-2916,Round 4 - 2013,8/23/13 0:00,8/23/13 8:44,8/23/13 14:02,317,96.87,5,Syreeta Updike,8146774,Closed,,2013-08-23T21:10:53.637,OCP Corp Audit Report.pdf
OCP Corp, Express Audit,Audit,T0530,322 NE Northgate Way,Omaha,WA,68164-1839,Round 4 - 2013,8/23/13 0:00,8/23/13 9:34,8/23/13 14:00,265,3,3,Ja Kluender,8147968,Closed,,2013-08-23T19:19:49.237,Yum - FSC Single Department.pdf
OCP Corp,OCP Corp Audit,Audit,T0530,323 NE Northgate Way,Omaha,WA,68164-1839,Round 4 - 2013,8/23/13 0:00,8/23/13 9:31,8/23/13 13:59,267,88.77,9,Casandra Ryder,8146792,Closed,,2013-08-23T19:19:52.550,OCP Corp Audit Report.pdf
OCP Corp, Express Audit,Audit,T1880,324 NE Northgate Way,Sheboygan Falls,WA,53085-2848,Round 4 - 2013,8/23/13 0:00,8/23/13 11:33,8/23/13 13:30,116,0,0,Ashleigh Milliken,8147645,Closed,,2013-08-24T01:32:05.453,Yum - FSC Single Department.pdf
OCP Corp,OCP Corp Audit,Audit,T1880,325 NE Northgate Way,Sheboygan Falls,WA,53085-2848,Round 4 - 2013,8/23/13 0:00,8/23/13 11:30,8/23/13 13:26,115,94.73,4,Evelyn Dykeman,8145769,Closed,,2013-08-24T01:32:05.877,OCP Corp Audit Report.pdf
OCP Corp,OCP Corp Audit,Audit,T0328,326 NE Northgate Way,Dublin,WA,94568-2320,Round 4 - 2013,8/23/13 0:00,8/23/13 10:31,8/23/13 12:53,141,82.25,4,Shantell Messersmith,8146841,Closed,,2013-08-24T05:20:22.360,OCP Corp Audit Report.pdf
OCP Corp, Express Audit,Audit,T1372,327 NE Northgate Way,Thornton,WA,80233,Round 4 - 2013,8/23/13 0:00,8/23/13 8:14,8/23/13 12:49,274,0,0,Harland Gullett,8147222,Closed,,2013-08-24T00:54:23.087,Yum - FSC Single Department.pdf
OCP Corp,OCP Corp Audit,Audit,T1372,328 NE Northgate Way,Thornton,WA,80233,Round 4 - 2013,8/23/13 0:00,8/23/13 8:12,8/23/13 12:47,274,93.41,6,Vivienne Pawloski,8146091,Closed,,2013-08-24T00:54:11.033,OCP Corp Audit Report.pdf
OCP Corp, Express Audit,Audit,T2346,329 NE Northgate Way,Akron,WA,44312,Round 4 - 2013,8/23/13 0:00,8/23/13 10:25,8/23/13 12:42,137,0,0,Dian Bosio,8147673,Closed,,2013-08-23T20:43:10.040,Yum - FSC Single Department.pdf
OCP Corp,OCP Corp Audit,Audit,T2346,330 NE Northgate Way,Akron,WA,44312,Round 4 - 2013,8/23/13 0:00,8/23/13 10:21,8/23/13 12:42,140,98.06,2,Florine Lawley,8145333,Closed,,2013-08-23T20:43:10.433,OCP Corp Audit Report.pdf
OCP Corp,OCP Corp Canada Audit,Audit,T3682,331 NE Northgate Way,WINNIPEG,WA,R2J 2M8,Round 4 - 2013,8/23/13 0:00,8/23/13 9:08,8/23/13 12:18,190,71.78,9,Marlo Gramlich,675142,Closed,,2013-08-23T17:34:56.480,OCP Corp Audit Report.pdf
OCP Corp, Express Audit,Audit,T1095,332 NE Northgate Way,Minneapolis,WA,55413-1643,Round 4 - 2013,8/23/13 0:00,8/23/13 8:45,8/23/13 11:42,176,1,1,Meryl Mckissick,8147350,Closed,,2013-08-23T20:10:12.620,Yum - FSC Single Department.pdf
OCP Corp,OCP Corp Audit,Audit,T1095,333 NE Northgate Way,Minneapolis,WA,55413-1643,Round 4 - 2013,8/23/13 0:00,8/23/13 8:42,8/23/13 11:41,178,96.26,4,Jerri Goetzinger,8146374,Closed,,2013-08-23T20:10:13.427,OCP Corp Audit Report.pdf
OCP Corp,OCP Corp Audit,Audit,T1033,334 NE Northgate Way,Baldwin Park,WA,91706,Round 4 - 2013,8/23/13 0:00,8/23/13 8:57,8/23/13 11:40,162,96.2,3,Reinaldo Demarco,8146435,Closed,,2013-08-24T08:23:18.983,OCP Corp Audit Report.pdf
OCP Corp, Express Audit,Audit,T1965,335 NE Northgate Way,Leominster,WA,1453,Round 4 - 2013,8/23/13 0:00,8/23/13 9:01,8/23/13 11:36,154,2,2,Kristy Yancy,8147544,Closed,,2013-08-23T20:57:13.063,Yum - FSC Single Department.pdf
OCP Corp,OCP Corp Audit,Audit,T1965,336 NE Northgate Way,Leominster,WA,1453,Round 4 - 2013,8/23/13 0:00,8/23/13 8:58,8/23/13 11:36,157,88.32,6,Ona Boso,8145679,Closed,,2013-08-23T20:57:02.773,OCP Corp Audit Report.pdf
OCP Corp,OCP Corp Audit,Audit,T0796,337 NE Northgate Way,Gainesville,WA,30504-4154,Round 4 - 2013,8/23/13 0:00,8/23/13 8:41,8/23/13 11:20,158,90.39,5,Robbin Cantero,8146660,Closed,,2013-08-23T22:23:56.910,OCP Corp Audit Report.pdf
OCP Corp,OCP Corp Audit,Audit,T1164,338 NE Northgate Way,Austell,WA,30106-1836,Round 4 - 2013,8/23/13 0:00,8/23/13 9:06,8/23/13 11:16,129,93.24,2,Gilberte Veith,8146301,Closed,,2013-08-23T19:26:36.273,OCP Corp Audit Report.pdf
OCP Corp,OCP Corp Audit,Audit,T1314,339 NE Northgate Way,Fenton,WA,63026-4013,Round 4 - 2013,8/23/13 0:00,8/23/13 8:26,8/23/13 11:15,168,94.61,3,Sylvie Toupin,8146157,Closed,,2013-08-23T17:02:52.560,OCP Corp Audit Report.pdf
OCP Corp,OCP Corp Audit,Audit,T2192,340 NE Northgate Way,Marysville,WA,98271-4724,Round 4 - 2013,8/23/13 0:00,8/23/13 7:55,8/23/13 11:12,196,85.11,8,Angeles Vickery,8145474,Closed,,2013-08-23T18:28:10.203,OCP Corp Audit Report.pdf
OCP Corp, Express Audit,Audit,T2192,341 NE Northgate Way,Marysville,WA,98271-4724,Round 4 - 2013,8/23/13 0:00,8/23/13 7:59,8/23/13 11:11,191,0,0,Hollie Faller,8147694,Closed,,2013-08-23T18:28:06.943,Yum - FSC Single Department.pdf
OCP Corp, Express Audit,Audit,T2278,342 NE Northgate Way,Temple,WA,76504-5138,Round 4 - 2013,8/23/13 0:00,8/23/13 8:56,8/23/13 11:07,130,0,0,Shaunna Lawry,8147974,Closed,,2013-08-23T22:13:35.780,Yum - FSC Single Department.pdf
OCP Corp,OCP Corp Audit,Audit,T2278,343 NE Northgate Way,Temple,WA,76504-5138,Round 4 - 2013,8/23/13 0:00,8/23/13 8:53,8/23/13 11:06,132,94.73,4,Edmundo Job,8145394,Closed,,2013-08-23T22:13:37.150,OCP Corp Audit Report.pdf
